timestamp,image,crop_predicted,diagnosis_predicted,confidence,advice_bangla,response_time_sec,correct_diagnosis (fill: yes/partial/no),bangla_quality (fill: good/ok/broken),notes
2026-07-04T12:42:47,jute_stem_rot_01.jpg,unclear,নিশ্চিত নই,low,ক্রপের আরো পরিষ্কার ছবি নিন এবং অ্যাপের মাধ্যমে পুনরায় জমা দিন।,10.89,,,
2026-07-04T12:42:50,jute_stem_rot_02.jpg,pat,কালো পচা রোগ,high,আক্রান্ত গাছের অংশ সংগ্রহ করে নষ্ট করে ফেলুন। রোগ প্রতিরোধী জাত ব্যবহার করতে পারেন।,3.73,,,
2026-07-04T12:42:54,jute_stem_rot_03.jpg,pat (jute),কালো পচা রোগ,high,ক্ষতিগ্রস্থ অংশগুলো কেটে ফেলে দিন এবং স্প্রে করতে ছত্রাকনাশক ব্যবহার করুন।,3.6,,,
2026-07-04T12:42:57,potato_early_blight_01.jpg,alu (potato),দাগ পতাকা রোগ,high,জলনিকাশী ভালো করতে হবে এবং প্রয়োজনে ছত্রাকনাশক ব্যবহার করুন।,2.96,,,
2026-07-04T12:43:00,potato_early_blight_02.jpg,alu (potato),পাতার দাগের রোগ,high,পটাশ সার প্রয়োগ করুন এবং রোগমুক্ত করা পাতা তুলে ফেলুন।,3.26,,,
2026-07-04T12:43:03,potato_early_blight_03.jpg,alu,আলুর দাগের রোগ,high,আক্রান্ত আলু আলাদা করে ফেলুন এবং ফসল গাছের নীচে পানি জমতে দেবেন না।,2.36,,,
2026-07-04T12:43:05,potato_late_blight_01.jpg,alu (potato),আলুর কালো পচা রোগ,high,আক্রান্ত আলুগুলি অপসারণ করুন এবং সংরক্ষণ ব্যবস্থার উন্নতি করুন। পরবর্তী ফসলে প্রতিরোধক ছত্রাকনাশক ব্যবহার করতে পারেন।,2.66,,,
2026-07-04T12:43:08,potato_late_blight_02.jpg,alu (potato),আলুর দেরী blight রোগ,high,ফসল থেকে আক্রান্ত আলু সরিয়ে ফেলুন এবং প্রয়োজনমতো ছত্রাকনাশক প্রয়োগ করুন।,2.44,,,
2026-07-04T12:43:12,potato_late_blight_03.jpg,alu (potato),ছত্রাকজনিত রোগ (লেট ব্লাইট),high,"প্রাথমিক পর্যায়ে যদি ধরতে পারেন, ম্যানকজেব বা ক্লোরোথ্যালোনিল ভিত্তিক ছত্রাকনাশক স্প্রে করুন। ক্ষতিগ্রস্ত গাছের অংশগুলো কেটে সরিয়ে ফেলুন।",4.32,,,
2026-07-04T12:43:16,rice_blast_01.jpg,dhan,ব্লাস্ট রোগ,high,প্রতি লিটার পানিতে ২-৩ গ্রাম মনসেন্টো ব্যবহার করুন। আক্রান্ত পাতা অপসারণ করুন।,3.57,,,
2026-07-04T12:43:18,rice_blast_02.jpg,dhan (rice),ব্লাস্ট রোগ,high,দ্রুতভাবে এই ক্ষেতে ফাংগিসাইড ব্যবহার করুন। আক্রান্ত পাতা অপসারণ করুন।,2.14,,,
2026-07-04T12:43:21,rice_blast_03.jpg,dhan (rice),পাতার দাগ রোগ,high,গুড়া মাত্রার ছত্রাকনাশক প্রয়োগ করুন। ফসলের স্বাস্থ্য পর্যবেক্ষণ চালিয়ে যান।,3.12,,,
2026-07-04T12:43:24,rice_brown_spot_01.jpg,dhan,পাতার দাগ রোগ,high,ফসলের ক্ষতি কমানোর জন্য সঠিক ছত্রাকনাশক ব্যবহার করুন। পাতা এবং জমিতে পরিষ্কার রাখুন।,2.97,,,
2026-07-04T12:43:27,rice_brown_spot_02.jpg,dhan,ব্লাস্ট রোগ,high,ক্ষেতে পানি সঠিকভাবে নিষ্কাশন নিশ্চিত করুন ও আজকের আবহাওয়া অনুযায়ী ফাঙ্গিসাইড প্রয়োগ করুন।,3.15,,,
2026-07-04T12:43:30,rice_brown_spot_03.jpg,dhan,ব্রাউন স্পট রোগ,high,আগামীবার বীজ শোধন করার আগে ভালোভাবে পরিষ্কার করুন। অনুমোদিত ছত্রাকনাশক ব্যবহার করতে পারেন।,2.84,,,
